0,1,2,3,4,5,6
Κελέτσης,Δημητρίου,Σταύρος,,,,
Γκαρά,,Γεωργίου,Αναστασία,(Νατάσα),,
Κεδίκογλου,Βασιλείου,Συμεών,(Σίμος),,,
Ζεμπίλης,Γεωργίου,Αθανάσιος,,,,
Πνευματικός,Γεωργίου,Σπυρίδωνας,,,,
Αποστόλου,Δημητρίου,Ευάγγελος,,,,
Χατζηγιαννάκης,Ευαγγέλου,Μιλτιάδης,,,,
Μαρίνος,Βασιλείου,Γεώργιος,,,,
Κοντογεώργος,Αθανασίου,Κωνσταντίνος,,,,
Ακτύπης,Δημητρίου,Διονύσιος,,,,
Αυγερινοπούλου,Ζήσιμου,Διονυσία,-,Θεοδώρα,,
Τζαβάρας,Γεωργίου,Κωνσταντίνος,,,,
Νικολακόπουλος,Θεοδώρου,Ανδρέας,,,,
Καλαματιανός,Χρήστου,Διονύσιος-Χαράλαμπος,,,,
Κατρίνης,Ιωάννη,Μιχαήλ,,,,
Βεσυρόπουλος,Φωτίου,Απόστολος,,,,
Μπαρτζώκας,Στεργίου,Αναστάσιος,,,,
Τσαβδαρίδης,Γεωργίου,Λάζαρος,,,,
Τόλκας,Χαράλαμπου,Άγγελος,,,,
Αυγενάκης,Κωνσταντίνου,Ελευθέριος,,,,
Σενετάκης,Γεωργίου,Μάξιμος,,,,
Μαμουλάκης,Αντωνίου,Χαράλαμπος,(Χάρης),,,
Βαρδάκης,Δημητρίου,Σωκράτης,,,,
Ηγουμενίδης,Εμμανουήλ,Νικόλαος,,,,
Κεγκέρογλου,Αλεξάνδρου,Βασίλειος,,,,
Συντυχάκης,Δανιήλ,Εμμανουήλ,,,,
Λογιάδης,Σοφοκλή,-,Εμμανουήλ,Γεώργιος,,
Γιόγιακας,Νικολάου,Βασίλειος,,,,
Κάτσης,,Σπυρίδωνος,Μάριος,,,
Καραμανλής,Αλεξάνδρου,Κωνσταντίνος,,,,
Γκιουλέκας,Πέτρου,Κωνσταντίνος,,,,
Ράπτη,Δημητρίου,Ελένη,,,,
Καλαφάτης,Αθανασίου,Σταύρος,,,,
Σιμόπουλος,Γεωργίου,Ευστράτιος,(Στράτος),,,
Ευθυμίου,Ταξιάρχη,Άννα,,,,
Κούβελας,,Σωτηρίου,Δημήτριος,,,
Νοτοπούλου,Παναγιώτη,Αικατερίνη,(Κατερίνα),,,
Αμανατίδης,Γεωργίου,Ιωάννης,,,,
Γιαννούλης,Ιωάννη,Χρήστος,,,,
Ζουράρης,Γεωργίου,Κωνσταντίνος,,,,
Τριανταφυλλίδης,,Γεωργίου,Αλέξανδρος,(Αλέκος),,
Καστανίδης,Γεωργίου,Χαράλαμπος,,,,
Δελής,Ιωάννη,Ιωάννης,,,,
Αβδελάς,Κωνσταντίνου,Απόστολος,,,,
Βαρουφάκης,Γεωργίου,Γιάνης,,,,
Καράογλου,Γεωργίου,Θεόδωρος,,,,
Αναστασιάδης,Ιωάννη,Σάββας,,,,
Βαρτζόπουλος,Χρυσοστόμου,Δημήτριος,,,,
Φάμελλος,,Πέτρου,Σωκράτης,,,
Αυγέρη,Πέτρου,Θεοδώρα,(Δώρα),,,
Αρβανιτίδης,Πέτρου,Γεώργιος,,,,
Στολτίδης,Δημητρίου,Λεωνίδας,,,,
Χήτας,Αχιλλέως,Κωνσταντίνος,,,,
Αδάμου,Στεργίου,Κωνσταντίνα,,,,
Τασούλας,Αναστασίου,Κωνσταντίνος,,,,
Καλογιάννης,Ελευθερίου,Σταύρος,,,,
Κεφάλα,Στεφάνου,Μαρία,-,Αλεξάνδρα,,
Αμυράς,Στυλιανού,Γεώργιος,,,,
Τζούφη,Στεφάνου,Μερόπη,,,,
Παναγιωτόπουλος,Ιωάννη,Νικόλαος,,,,
Πασχαλίδης,Αδάμ,Ιωάννης,,,,
Λαζαρίδης,Βασιλείου,Μακάριος,,,,
Ελευθεριάδου,Παύλου,Σουλτάνα,,,,
Τσιάρας,Αλεξάνδρου,Κωνσταντίνος,,,,
Κωτσός,Κωνσταντίνου,Γεώργιος,,,,
Σκόνδρα,Κωνσταντίνου,Ασημίνα,,,,
Λάππας,,Ευαγγέλου,Σπυρίδωνας,,,
Τζηκαλάγιας,Γεωργίου,Ζήσης,,,,
Τελιγιορίδου,Ιωάννη,Ολυμπία,,,,
Γκίκας,Σωτηρίου,Στέφανος,,,,
Αυλωνίτης,Νικολάου,Αλέξανδρος,-,Χρήστος,,
Μπιάγκης,Σπυρίδωνος,Δημήτριος,,,,
Καππάτος,Σπυρίδωνος-Διονυσίου,Παναγής,,,,
Γεωργαντάς,Παύλου,Γεώργιος,,,,
Αγαθοπούλου,Δημητρίου,Ειρήνη-Ελένη,,,,
Φραγγίδης,Σταύρου,Γεώργιος,,,,
Κωνσταντινίδης,Κωνσταντίνου,Ευστάθιος,,,,
Βρυζίδου,Παναγιώτη,Παρασκευή,,,,
Παπαδόπουλος,Γεωργίου,Μιχάλης,,,,
Αμανατίδης,Ισαάκ,Γεώργιος,,,,
Βέττα,,,Καλλιόπη,,,
Δήμας,Σταύρου,Χρίστος,,,,
Ταγαράς,Χρήστου,Νικόλαος,,,,
Κόλλιας,Ταξιάρχου,Κωνσταντίνος,,,,
Ψυχογιός,,Κωνσταντίνου,Γεώργιος,,,
Βρούτσης,Βασιλείου,Ιωάννης,,,,
Μονογυιού,Μιχαήλ,Αικατερίνη,,,,
Φόρτωμας,Αριστοτέλη,Φίλιππος,,,,
Συρμαλένιος,Ευαγγέλου,Νικόλαος,,,,
Δαβάκης,Παναγιώτη,Αθανάσιος,,,,
Κρητικός,Δημοσθένη,Νεοκλής,,,,
Αραχωβίτης,Γεωργίου,Σταύρος,,,,
Χαρακόπουλος,Παντελή,Μάξιμος,,,,
Κέλλας,Αχιλλέα,Χρήστος,,,,
Μπίζιου,Νικολάου,Στεργιανή,(Στέλλα),,,
Κόκκαλης,Κωνσταντίνου,Βασίλειος,,,,
Βαγενά-Κηλαηδόνη,,,Άννα,,,
Λιακούλη,Θεοφάνη,Ευαγγελία,,,,
Λαμπρούλης,Αριστείδη,Γεώργιος,,,,
Βελόπουλος,Ιωσήφ,Κυριάκος,,,,
Πλακιωτάκης,Ιωσήφ,Ιωάννης,,,,
Θραψανιώτης,Μιχαήλ,Εμμανουήλ,,,,
Αθανασίου,Χριστόφα,Χαράλαμπος,,,,
Μπουρνούς,Δημητρίου,Ιωάννης,,,,
Κομνηνάκα,Αποστόλου,Μαρία,,,,
Καββαδάς,Ιωάννη,Αθανάσιος,,,,
Μπουκώρος,Γεωργίου,Χρήστος,,,,
Μακρή,Μιχαήλ,Ζωή,(Ζέττα),,,
Λιούπης,Κωνσταντίνου,Αθανάσιος,,,,
Μαραβέγιας,Αριστοτέλη,Κωνσταντίνος,,,,
Μεϊκόπουλος,Μιχαήλ,Αλέξανδρος,,,,
Παπανάτσιου,,Στέργιου,Αικατερίνη,,,
Σαμαράς,Κωνσταντίνου,Αντώνιος,,,,
Λαμπρόπουλος,Δημητρίου,Ιωάννης,,,,
Χρυσομάλλης,Παναγιώτη,Μιλτιάδης,(Μίλτος),,,
Μαντάς,Παντελή,Περικλής,,,,
Χαρίτσης,Βύρωνα,Αλέξανδρος,(Αλέξης),,,
Τσιλιγγίρης,Γεωργίου,Σπυρίδων,(Σπύρος),,,
Ζεϊμπέκ,Χασάν,Χουσεϊν,,,,
Μπαράν,Νετζαντή,Μπουρχάν,,,,
Καρασμάνης,Αθανασίου,Γεώργιος,,,,
Σταμενίτης,Ευαγγέλου,Διονύσιος,,,,
Βασιλειάδης,Νικολάου,Βασίλειος,(Λάκης),,,
Τζάκρη,Εμμανουήλ,Θεοδώρα,,,,
Μπαραλιάκος,Ελευθερίου,Ξενοφών,(Φώντας),,,
Μάνη-Παπαδημητρίου,Ευαγγέλου,΄Αννα,,,,
Χιονίδης,Γεωργίου,Σάββας,,,,
Σκούφα,Δημητρίου,Ελισσάβετ,(Μπέττυ),,,
Γιαννάκης,Κωνσταντίνου,Στέργιος,,,,
Μπάρκας,Θεοφάνη,Κωνσταντίνος,,,,
Κεφαλογιάννης,Αχιλλέα,Ιωάννης,,,,
Ξανθός,Γεωργίου,Ανδρέας,,,,
Στυλιανίδης,Στυλιανού,Ευριπίδης,,,,
Χαρίτου,Αθανασίου,Δημήτριος,(Τάκης),,,
Αχμέτ,Σαμπρή,Ιλχάν,,,,
Στεφανάδης,Ισιδώρου,Χριστόδουλος,,,,
Καραμανλής,,Αχιλλέα,Κωνσταντίνος,,,
Αραμπατζή,Αθανασίου,Φωτεινή,,,,
Χατζηβασιλείου,Γεωργίου,Αναστάσιος,(Τάσος),,,
Λεονταρίδης,Χρήστου,Θεόφιλος,,,,
Αβραμάκης,Αντωνίου,Ελευθέριος,,,,
Μπούμπας,Ιωάννη,Κωνσταντίνος,,,,
Σκρέκας,Θεοδώρου,Κωνσταντίνος,,,,
Λιούτας,Αχιλλέως,Αθανάσιος,,,,
Παπακώστα,-,Παλιούρα,Δημητρίου,Αικατερίνη,(Κατερίνα),
Παπαδόπουλος,,Αποστόλου,Αθανάσιος,(Σάκης),,
Σταϊκούρας,Κωνσταντίνου,Χρήστος,,,,
Οικονόμου,Δημητρίου,Ιωάννης,,,,
Κοτρωνιάς,Νικολάου,Γεώργιος,,,,
Μακρή,Θεοδώρου,Ευαγγέλου,Ελένη,,,
Σαρακιώτης	,Αθανασίου,Ιωάννης,,,,
Αντωνιάδης,Δημητρίου,Ιωάννης,,,,
Πέρκα,Χαράλαμπου,Θεοπίστη,(Πέτη),,,
Μπούγας,Δημητρίου,Ιωάννης,,,,
Βαγιωνάς,Κωνσταντίνου,Γεώργιος,,,,
Μάλαμα,Ιωάννη,Κυριακή,,,,
Πάνας,Νικολάου,Απόστολος,,,,
Μπακογιάννη,Κωνσταντίνου,Θεοδώρα,(Ντόρα),,,
Βολουδάκης,Γεωργίου,Μανούσος,-,Κωνσταντίνος,,
Διγαλάκης,Βασιλείου,Βασίλειος,,,,
Πολάκης,,Πέτρου,Παύλος,,,
Μηταράκης,Αντωνίου,Παναγιώτης,(Νότης),,,
Μιχαηλίδης,,Φραγκούλη,Ανδρέας,,,
Δραγασάκης,Ιωάννης,Ανδρέα,,,,
Φωτίου,Θεανώ,Βασιλείου,,,,
Κοτζιάς,Νικόλαος,Άγγελου,,,,
Χριστοδουλοπούλου,Αναστασία,Ζαχαρία,,,,
Γαβρόγλου,Κωνσταντίνος,Βασιλείου,,,,
Φορτσάκης,Θεόδωρος,Πέτρου,,,,
Σταμάτης,Δημήτριος,Ιωάννη,,,,
Κεραμέως,Νίκη,Κωνσταντίνου,,,,
Οικονόμου,Βασίλειος,Αθανασίου,,,,
Παππάς,Χρήστος,Ηλία,,,,
Θεοχαρόπουλος,Αθανάσιος,Στεφάνου,,,,
Παπαρήγα,Αλεξάνδρα,Νικολάου,,,,
Φλαμπουράρης,Αλέξανδρος,Γερασίμου,,,,
Βούτσης,Νικόλαος,Γεωργίου,,,,
Φίλης,,Νικόλαος,Αριστοτέλη,,,
Κεφαλογιάννη,Όλγα,Ιωάννη,,,,
Κικίλιας,Βασίλειος,Παναγιώτη,,,,
Μπακογιάννη,Θεοδώρα,(Ντόρα),Κωνσταντίνου,,,
Κακλαμάνης,Νικήτας,Μιχαήλ,,,,
Μιχαλολιάκος,Νικόλαος,Γεωργίου,,,,
Σκανδαλίδης,Κωνσταντίνος,Γεωργίου,,,,
Κανέλλη,Γαρυφαλλιά,(Λιάνα),Χρήστου,,,
Λυκούδης,Σπυρίδων,Διονυσίου,,,,
Κουντουρά,Έλενα,Αλεξάνδρου,,,,
Γεωργιάδης,Μάριος,Νικολάου,,,,
Βερναρδάκης,,Χριστόφορος,,Δημοσθένη,,
Δρίτσας,Θεόδωρος,Παναγιώτη,,,,
Σταματάκη,,Ελένη,Παναγιώτη,,,
Δουζίνας,Κωνσταντίνος,Ευαγγέλου,,,,
Γεννιά,Γεωργία,Σωκράτη,,,,
Κατσαφάδος,Κωνσταντίνος,Ιωάννη,,,,
Κούζηλος,Νικόλαος,Παναγιώτη,,,,
Βίτσας,Δημήτριος,Αθανασίου,,,,
Κασιμάτη,Ειρήνη,(Νίνα),,Γεωργίου,,
Καρακώστα,Ευαγγελία,(Εύη),,Ελευθερίου,,
Τραγάκης,Ιωάννης,Παναγιώτη,,,,
Λαγός,Ιωάννης,Ευαγγέλου,,,,
Μανωλάκου,Διαμάντω,Εμμανουήλ,,,,
Καμμένος,Δημήτριος,Κωνσταντίνου,,,,
Μεγαλοοικονόμου,Θεοδώρα,Πασχάλη,,,,
Μπαλτάς,Αριστείδης-Νικόλαος-Δημήτριος,Αλεξάνδρου,,,,
Αθανασίου,Αθανάσιος,(Νάσος),Ευθυμίου,,,
Σκουρολιάκος,,Παναγιώτης,(Πάνος),,Λουκά,
Πάντζας,Γεώργιος,Σπυρίδωνος-Αριστοτέλη,,,,
Δέδες,Ιωάννης,,Γεωργίου,,,
Βορίδης,Μαυρουδής,(Μάκης),Χρήστου,,,
Μαρτίνου,Γεωργία,Αθανασίου,,,,
Βλάχος,Γεώργιος,Θεοδώρου,,,,
Μπούρας,Αθανάσιος,Κωνσταντίνου,,,,
Κασιδιάρης,Ηλίας,Παναγιώτη,,,,
Χριστοφιλοπούλου,Παρασκευή,(Εύη),συζ.,Δημητρίου,,
Γκιόκας,Ιωάννης,Χρήστου,,,,
Μαυρωτάς,Γεώργιος,Παρασκευά,,,,
Κατσίκης,Κωνσταντίνος,Θεοδώρου,,,,
Καβαδέλλας,Δημήτριος,Γεωργίου,,,,
Βαρεμένος,Γεώργιος,Βασιλείου,,,,
Τριανταφύλλου,Μαρία,Κωνσταντίνου,,,,
Σαλμάς,Μάριος,Γεωργίου,,,,
Καραγκούνης,Κωνσταντίνος,Ανδρέα,,,,
Μπαρμπαρούσης,Κωνσταντίνος,Ηλία,,,,
Κωνσταντόπουλος,Δημήτριος,,Χρήστου,,,
Μωραΐτης,Νικόλαος,Επαμεινώνδα,,,,
